REFFIC;DEFINITIF;FICHIER;LIBFIC;DATE_ARRIVEE;LIBELLE;LIBSITE;BOITE_ARCHIVE;PAGES;LIBSSYST;ARMOIRE;TYP_DOC;SUPPORT_DOC;ETAGERE;CHEMISE;BOITE;CARTON;CLASSEUR;TIROIR;MOTS;INDICE_DERN_VERS;DATE_DERN_VERS;NUMERO_REF_FOURN;;UTILISATEUR_DIFFUSION;DATE_MAD;NDMD_MAD;SOCIETE_MAD;NOM_DMD_MAD;CONTRAT_MAD;COMMENTAIRE_MAD
1585;D;;MONTAGE DES INDUCTEURS;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;MOTEUR|INDUCTEUR|TRACTION|MONTAGE;C;26/08/1986;AA00AA X0000 0672 FF-000407|TR 80354494;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15850;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Gorge de Loup\Station\ST301518.pdf;GORGE DE LOUP - COFFRET CDV 10 GDL;27/09/2012;AA : LIGNE D;GORGE DE LOUP;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-301518;SEMALY;UTMD ATS;18/06/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
15851;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305716.pdf;MERMOZ PINEL - COFFRET CDV23MER;20/09/2012;AA : LIGNE D;MERMOZ PINEL;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305716;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
15856;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Grange Blanche\ST304515.pdf;GRANGE BLANCHE - COFFRET CDV 22LUM;20/09/2012;AA : LIGNE D;GRANGE BLANCHE;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-304515;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
1586;D;;POLE ASSEMBLE POLE DE COMMUTATION;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;ASSEMBLE|COMMUTATION|POLE|TRACTION|MOTEUR;B;30/05/1986;AA00AA X0000 0672 FF-000405|TR 8035495;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15864;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Saint Jean Vieux Lyon\ST302515.pdf;SAINT JEAN-VIEUX LYON - COFFRET CDV 14SJ;27/09/2012;AA : LIGNE D;VIEUX LYON;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;I;01/02/1993;AA00AA X0000 0730 ST-302515;SEMALY;UTMD ATS;25/06/2019;C.DOC/JG/19/121;ALSTOM;RIFFARD;M16-0116;AVENIR METRO AUTOMATISMES
15869;P;\Utmd\CDOC_Consultations\Métro B - Stations\Saxe-Gambetta\Station\ST303520.pdf;SAXE GAMBETTA - COFFRET CDV 12 GAR;26/09/2012;AA : LIGNE D;SAXE GAMBETTA  B & D;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-303520;SEMALY;UTMD ATS;06/10/2017;C.DOC/JG/17/208;ALSTOM;RIFFARD;M16 0116;AUTOMATISME
1587;D;;COURONNE PORTE-BALAIS;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;PORTE|BALAI|MOTEUR|COURONNE|TRACTION;A;02/09/1986;AA00AA X0000 0672 FF-000418|TR 8037606;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15874;P;\Utmd\CDOC_Consultations\Métro B - Stations\Saxe-Gambetta\Station\ST303527.pdf;SAXE GAMBETTA - COFFRET CDV 22 GAR;26/09/2012;AA : LIGNE D;SAXE GAMBETTA  B & D;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-303527;SEMALY;UTMD ATS;06/10/2017;C.DOC/JG/17/208;ALSTOM;RIFFARD;M16 0116;AUTOMATISME
15879;P;\Utmd\CDOC_Consultations\Métro B - Stations\Saxe-Gambetta\Station\ST303432.pdf;SAXE GAMBETTA - SALLE A RELAIS ARMOIRE CDV C2;24/09/2012;AA : LIGNE D;SAXE GAMBETTA  B & D;voir BE;4;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-303432;SEMALY;UTMD ATS;06/10/2017;C.DOC/JG/17/208;ALSTOM;RIFFARD;M16 0116;AUTOMATISME
1588;D;;POLE PRINCIPAL DECOUPAGE DES TOLES;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;PRINCIPAL|DECOUPAGE|POLE|TRACTION|TOLE|MOTEUR;B;08/01/1987;AA00AA X0000 0672 FF-000406|TR 8037607;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15880;P;\Utmd\CDOC_Consultations\Métro B - Stations\Saxe-Gambetta\Station\ST303519.pdf;SAXE GAMBETTA - COFFRET CDV 12.1 SS;24/09/2012;AA : LIGNE D;SAXE GAMBETTA  B & D;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-303519;SEMALY;UTMD ATS;06/10/2017;C.DOC/JG/17/208;ALSTOM;RIFFARD;M16 0116;AUTOMATISME
15883;P;\Utmd\CDOC_Consultations\Métro B - Stations\Saxe-Gambetta\Station\ST303526.pdf;SAXE GAMBETTA - COFFRET CDV 22.1 SG;26/09/2012;AA : LIGNE D;SAXE GAMBETTA  B & D;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-303526;SEMALY;UTMD ATS;06/10/2017;C.DOC/JG/17/208;ALSTOM;RIFFARD;M16 0116;AUTOMATISME
15884;D;;PROCES VERBAL DE RECETTE USINE 63 RELAIS NS1.24.4.0.4   30 RELAIS NS1.24.L.4.04;24/06/1992;AA : LIGNE D;THIOLEY;;0;SIG METRO;44;;PAPIER;;;;;;;USINE|PROCES VERBAL|RELAIS|RECETTE;A;05/11/1990;AA00AA X0000 400000 P60 GN 000120|N: 129 D;TCLDOC-RATP SOFRETU;;;;;;;
15886;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Gorge de Loup\Station\ST301309.pdf;GORGE DE LOUP - SCHEMAS D'EXECUTION LIAISON ENTRE STATIONS ET INITIALISATION;26/09/2012;AA : LIGNE D;GORGE DE LOUP;voir BE;3;SIG METRO;SERVEUR;;.TIFF;;;;;;;;T;09/10/2008;AA00AA X0000 0730 ST-301309;SEMALY;UTMD ATS;18/06/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
15887;D;;PROCES VERBAL DE RECETTE USINE 2 EMETTEURS F.12.3KHZ 67 EMETTEURS REFUSES;25/06/1992;AA : LIGNE D;THIOLEY;;0;SIG METRO;44;;PAPIER;;;;;;;EMETTEUR|USINE|RECETTE|PROCES VERBAL;A;05/11/1990;AA00AA X0000 400000 P60 GN 000122|N: 130 D;TCLDOC-RATP SOFRETU;;;;;;;
15888;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305640.pdf;MERMOZ PINEL - SALLE A RELAIS DISPOSITION ET MISE A LA TERRE DES CHASSIS DANS LE POSTE;19/09/2012;AA : LIGNE D;MERMOZ PINEL;voir BE;3;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305640;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
1589;D;;POLE PRINCIPAL ASSEMBLE;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;ASSEMBLE|TRACTION|POLE|MOTEUR|PRINCIPAL;B;07/01/1987;AA00AA X0000 0672 FF-000409|TR 8037609;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15891;D;\Utmd\CDOC_CONSULTATIONS\Métro D - Communs\ST310013.pdf;COMMUNS D - SIG - MOTEUR D'AIGUILLE TYPE MC 15 BRC NOTICE D'ENTRETIEN ET DE MAINTENANCE;21/02/1992;AA : LIGNE D;COMMUNS  D;voir BE;12;SIG METRO;SERVEUR;;.pdf;;;;;;;AIGUILLE|MOTEUR|MECANIQUE|NOTICE;A;24/04/1990;AA00AA X0000 0000 ST-310013|-UTMD07180;SEMALY-DE DIETRICH;UTMD ATS;;;;;;
15892;D;\Utmd\CDOC_CONSULTATIONS\Métro D - Communs\ST310014.pdf;COMMUNS D - SIG - MOTEUR D'AIGUILLE TYPE MC 14 BRT NOTICE D'ENTRETIEN ET DE MAINTENANCE;21/02/1992;AA : LIGNE D;COMMUNS  D;voir BE;13;SIG METRO;SERVEUR;;.pdf;;;;;;;AIGUILLE|MECANIQUE|MOTEUR|NOTICE;A;24/04/1990;AA00AA X0000 0000 ST-310014|-UTMD07173;SEMALY-DE DIETRICH;UTMD ATS;;;;;;
15898;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305710.pdf;MERMOZ PINEL - COFFRET CDV12.1PAR;19/09/2012;AA : LIGNE D;MERMOZ PINEL;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305710;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
159;D;;MOTEUR DE TRACTION TAO 673 A1 POLE PRINCIPAL AXE;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;PRINCIPAL|AXE|TRACTION|POLE|MOTEUR;G;08/01/1987;AA00AA X0000 0621 FF-000146|TR 7021228;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
1590;D;;COURONNE PORTE BALAIS MONTAGE;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;PORTE|BALAI|COURONNE|MOTEUR|MONTAGE|TRACTION;A;02/09/1986;AA00AA X0000 0672 FF-000419|TR 8037610;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15902;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305717.pdf;MERMOZ PINEL - COFFRET CDV22PAR;20/09/2012;AA : LIGNE D;MERMOZ PINEL;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305717;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
159040;D;;EVALUATIONDES CHARGES POUR LA TRANCHE FERME DU MARCHE 03-52;24/08/2009;AA : LIGNE D;THIOLEY;;;PA;;;;;;;;;;;;;AA00AA X0000 200000 G61 FN 000006;TCLDOC;;;;;;;
1591;D;;INDUCTEURS CABLAGE CONNEXION N 11;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;CABLAGE|CONNEXION|MOTEUR|TRACTION;B;07/07/1987;AA00AA X0000 0672 FF-000404|TR 9683215;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
159140;D;;MANUEL D'UTILISATION LOGICIEL MAITRISE DU RESEAU TORNAD PROCEDURE D'INSTALLATION DE L'ENVIRONNEMENT DE DEVELOPPEMENT TORNAD;18/09/2007;AA : LIGNE D;THIOLEY;;;MR METRO;;;;;;;;;;;;;AA00AA X0000 160000 M01 TD 000004 NP27;TCLDOC;;;;;;;
1592;D;;STATOR CABLE COMPENSE;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;CABLE|TRACTION|STATOR|MOTEUR;D;04/06/1987;AA00AA X0000 0672 FF-000401|TR 9683213 F1/3;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15921;D;;GORGE DE LOUP SCHEMAS D'EXECUTION BORNES APRES RETOUR CHANTIER.;26/06/1992;AA : LIGNE D;THIOLEY;;0;SIG METRO;44;;PAPIER;;;;;;;GORGE DE LOUP|CHANTIER|EXECUTION|SCHEMA|BORNE;;;AA00AA X0000 421000 E30 SN 000103;TCLDOC;;;;;;;
15925;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Grange Blanche\ST304520.pdf;GRANGE BLANCHE - COFFRET CDV 12SS;20/09/2012;AA : LIGNE D;GRANGE BLANCHE;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-304520;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
1593;D;;STATOR CABLE COMPENSE;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;CABLE|TRACTION|MOTEUR|STATOR;D;04/06/1987;AA00AA X0000 0672 FF-000402|TR 9683213 F2/3;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15930;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Grange Blanche\ST304519.pdf;GRANGE BLANCHE - COFFRET CDV 12.1LUM;20/09/2012;AA : LIGNE D;GRANGE BLANCHE;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-304519;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
15935;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Grange Blanche\ST304518.pdf;GRANGE BLANCHE - COFFRET CDV 12LUM;20/09/2012;AA : LIGNE D;GRANGE BLANCHE;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-304518;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
15938;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Grange Blanche\ST304517.pdf;GRANGE BLANCHE - COFFRET CDV 22LAE;20/09/2012;AA : LIGNE D;GRANGE BLANCHE;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-304517;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
1594;D;;STATOR CABLE COMPENSE;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;CABLE|MOTEUR|TRACTION|STATOR;D;04/06/1987;AA00AA X0000 0672 FF-000403|TR 9683213 F3/3;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15946;P;\Utmd\CDOC_Consultations\Métro B - Stations\Saxe-Gambetta\Station\ST303528.pdf;SAXE GAMBETTA - COFFRET CDV 22.1 GAR;26/09/2012;AA : LIGNE D;SAXE GAMBETTA  B & D;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-303528;SEMALY;UTMD ATS;06/10/2017;C.DOC/JG/17/208;ALSTOM;RIFFARD;M16 0116;AUTOMATISME
1595;D;;BOBINE D'INDUIT;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;BOBINE|INDUIT|TRACTION|MOTEUR;B;05/05/1986;AA00AA X0000 0672 FF-000364|TR 9676563;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15951;P;\Utmd\CDOC_Consultations\Métro B - Stations\Saxe-Gambetta\Station\ST303529.pdf;SAXE GAMBETTA - COFFRET CDV 22 SS;26/09/2012;AA : LIGNE D;SAXE GAMBETTA  B & D;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-303529;SEMALY;UTMD ATS;06/10/2017;C.DOC/JG/17/208;ALSTOM;RIFFARD;M16 0116;AUTOMATISME
15957;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305715.pdf;MERMOZ PINEL - COFFRET CDV22.1MER;19/09/2012;AA : LIGNE D;MERMOZ PINEL;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305715;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
1596;D;;BOBINE DE COMPENSATION N 2;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;COMPENSATION|TRACTION|BOBINE|MOTEUR;A;24/03/1986;AA00AA X0000 0672 FF-000396|TR 9678809;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15963;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305714.pdf;MERMOZ PINEL - COFFRET CDV22.1LAE;19/09/2012;AA : LIGNE D;MERMOZ PINEL;voir BE;6;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305714;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
15966;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305713.pdf;MERMOZ PINEL - COFFRET CDV12.1LAE;19/09/2012;AA : LIGNE D;MERMOZ PINEL;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305713;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
1597;D;;BOBINE DE COMPRESSION N 1;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;BOBINE|MOTEUR|COMPRESSION|TRACTION;A;24/03/1986;AA00AA X0000 0672 FF-000397|TR 9678808;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15971;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305712.pdf;MERMOZ PINEL - COFFRET CDV12LAE;19/09/2012;AA : LIGNE D;MERMOZ PINEL;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305712;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
15976;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305711.pdf;MERMOZ PINEL - COFFRET CDV12.1MER;19/09/2012;AA : LIGNE D;MERMOZ PINEL;voir BE;6;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305711;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
159799;D;;COMMUN D - SECURITE COUPLEUR PIONER 3000;29/07/1991;AA : LIGNE D;THIOLEY;;1;MR METRO;SERVEUR;;.TIFF;;;;;;;BOGIE;B;02/05/1991;AA00AA X0000 0675 FB-002367|TRK7610869;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
1598;D;;BOBINE PRINCIPALE INDUCTEURS;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;PRINCIPAL|TRACTION|MOTEUR|BOBINE;C;06/08/1986;AA00AA X0000 0672 FF-000395|TR 9683224;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15980;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305500.pdf;MERMOZ PINEL - SCHEMAS D'EXECUTION;18/09/2012;AA : LIGNE D;MERMOZ PINEL;voir BE;1;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305500;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
159800;D;;COMMUN D - MR- ENTRETOISE ETRIER DE FREIN MPL85;21/10/2009;AA : LIGNE D;THIOLEY;;1;MR METRO;SERVEUR;;AUTOCAD;;;;;;;;;;AA00AA M0813 140000 M85 TS 000497;TCLDOC;UTMD ATV;;;;;;
15986;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305400.pdf;MERMOZ PINEL - PLANS D'EXPLOITATION;18/09/2012;AA : LIGNE D;MERMOZ PINEL;Voir BE;4;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305400;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
15988;D;;SCHEMA DE SIGNALISATION SIMPLIFIE;22/09/1993;AA : LIGNE D;THIOLEY;;0;SIG METRO;19;PLAN;CALQUE;;;;;;;SIGNALISATION|SCHEMA;F;01/02/1993;AA00AA X0000 0730 ST-300002;SEMALY;UTMD ATS;;;;;;
1599;D;;ENCOMBREMENT MOTEUR EQUIPE TAO 673C;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;EQUIPE|ENCOMBREMENT|TRACTION|MOTEUR;D;21/01/1987;AA00AA X0000 0672 FF-000432|TR 9683228;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
15994;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305508.pdf;MERMOZ PINEL - SCHEMAS D'EXECUTION TELECOMMANDES - TELECONTROLES;18/09/2012;AA : LIGNE D;MERMOZ PINEL;voir BE;6;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305508;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
15999;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Mermoz Pinel\ST305509.pdf;MERMOZ PINEL - SCHEMAS D'EXECUTION LIAISONS ENTRE STATION ET INITIALISATION;18/09/2012;AA : LIGNE D;MERMOZ PINEL;voir BE;3;SIG METRO;SERVEUR;;.TIFF;;;;;;;;F;01/02/1993;AA00AA X0000 0730 ST-305509;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
160;D;;MOTEUR DE TRACTION TAO 673 A1 BOITE A BORNES PIECE DE SERRAGE DES CABLES;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;BOITE|BORNE|TRACTION|SERRAGE|MOTEUR|CABLE;C;16/06/1986;AA00AA X0000 0621 FF-000127|TR 7021219;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
1600;D;;MOTEUR TAO 673 C COUPE LONGITUDINALE;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;LONGITUDINALE|TRACTION|MOTEUR|COUPE;B;01/12/1986;AA00AA X0000 0672 FF-000434|TR 9683235;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
160040;D;;ATELIERS THIOLEY - SUPPORT STOCKAGE BATTERIE;02/11/2009;AA : LIGNE D;THIOLEY;;5;EQUIPEMENTS DE MAINTENANCE;SERVEUR;;AUTOCAD;;;;;;;MPL85;;;AA00AA M0950 AC0000 M12 TS 000524|ENSEMBLE 598;TCLDOC-RIVOIRE;;;;;;;
160061;D;;ATELIERS THIOLEY - CHASSIS ROUE + DISQUE;02/11/2009;AA : LIGNE D;THIOLEY;;2;EQUIPEMENTS DE MAINTENANCE;SERVEUR;;AUTOCAD;;;;;;;MPL85;;;AA00AA M0950 AC0000 M12 TS 000525|CHASSIS 610;TCLDOC-RIVOIRE;;;;;;;
160062;D;;ATELIERS THIOLEY - ECHELLE ACCES FOSSE;02/11/2009;AA : LIGNE D;THIOLEY;;4;EQUIPEMENTS DE MAINTENANCE;SERVEUR;;AUTOCAD;;;;;;;MPL85;;;AA00AA M0950 AC0000 M12 TS 000526|ENSEMBLE 600;TCLDOC-RIVOIRE;;;;;;;
1601;D;;MOTEUR TAO 673 C COUPE TRANSVERSALE;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;COUPE|TRACTION|MOTEUR|TRANSVERSALE;B;01/12/1986;AA00AA X0000 0672 FF-000433|TR 9683236;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
1602;D;;STATOR EQUIPE;02/02/1993;AA : LIGNE D;THIOLEY;;0;MR METRO;6;PLAN;POLYESTER;;;;;;;EQUIPE|STATOR|TRACTION|MOTEUR;B;26/06/1986;AA00AA X0000 0672 FF-000391|TR 9683250;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
16020;P;\Utmd\CDOC_Consultations\Métro B - Stations\Saxe-Gambetta\Station\ST303525.pdf;SAXE GAMBETTA - COFFRET CDV 22 GUI;26/09/2012;AA : LIGNE D;SAXE GAMBETTA  B & D;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-303525;SEMALY;UTMD ATS;06/10/2017;C.DOC/JG/17/208;ALSTOM;RIFFARD;M16 0116;AUTOMATISME
16021;P;\Utmd\CDOC_Consultations\Métro B - Stations\Saxe-Gambetta\Station\ST303522.pdf;SAXE GAMBETTA - COFFRET CDV 12.1 GUI;26/09/2012;AA : LIGNE D;SAXE GAMBETTA  B & D;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-303522;SEMALY;UTMD ATS;06/10/2017;C.DOC/JG/17/208;ALSTOM;RIFFARD;M16 0116;AUTOMATISME
16022;P;\Utmd\CDOC_Consultations\Métro B - Stations\Saxe-Gambetta\Station\ST303523.pdf;SAXE GAMBETTA - COFFRET CDV 12 BEL;26/09/2012;AA : LIGNE D;SAXE GAMBETTA  B & D;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-303523;SEMALY;UTMD ATS;06/10/2017;C.DOC/JG/17/208;ALSTOM;RIFFARD;M16 0116;AUTOMATISME
16023;P;\Utmd\CDOC_Consultations\Métro B - Stations\Saxe-Gambetta\Station\ST303524.pdf;SAXE GAMBETTA - COFFRET CDV 22.1 BEL;26/09/2012;AA : LIGNE D;SAXE GAMBETTA  B & D;voir BE;5;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-303524;SEMALY;UTMD ATS;06/10/2017;C.DOC/JG/17/208;ALSTOM;RIFFARD;M16 0116;AUTOMATISME
