Référence fournisseur;Référence fiche
AA00AA X0000 211001 P30 JN 000001CE 827219W;188487
AA00AA X0000 141000 E01 VL 000206;18849
AA00AA X0000 117500 E01 VL 000118;18850
AA00AA X0000 100000 E99 AL 000117;18856
AA00AA X0000 100000 L99 AL 000096;18858
AA00AA X0000 117100 E01 VL 000364;18859
AA00AA X0000 117440 E01 VL 000113;18860
AA00AA X0000 100000 L01 SC 000155;18862
AA00AA X0000 100000 L01 SN 000153;18863
AA00AA X0000 100000 E41 AL 000001;18864
AA00AA X0000 100000 E42 VN 000116;18866
AA00AA X0000 100000 E42 VC 000105;18867
AA00AA X0000 100000 E99 AN 000432;18868
AA00AA X0000 100000 E99 SL 000111;18869
AA00AA X0000 100000 E99 VL 000102;18870
AA00AA X0000 100000 G11 SL 000111;18871
AA00AA X0000 100000 G11 VL 000104;18872
AA00AA X0000 100000 G11 VL 000106;18873
AA00AA X0000 100000 G15 SC 000106;18874
AA00AA X0000 100000 G15 SC 000105;18875
AA00AA X0000 100000 E99 AL 000092;18876
AA00AA X0000 600200 R99 AD 000005;188767
AA00AA X0000 100000 E99 AL 000090;18877
AA00AA X0000 100000 E99 AL 000084;18878
AA00AA X0000 117100 E01 VL 000232;18879
AA00AA X0000 100000 E99 SD 000106;18880
AA00AA X0000 600200 R99 AD 000010;188807
AA00AA X0000 100000 E42 VC 000106;18881
AA00AA X0000 100000 E99 AL 000081;18882
AA00AA X0000 100000 E99 AL 000080;18883
AA00AA X0000 100000 G60 SL 000114;18884
AA00AA X0000 100000 G60 SC 000104;18885
AA00AA X0000 100000 G60 AL 000156;18886
AA00AA X0000 100000 G60 AL 000038;18887
AA00AA X0000 100000 G34 VN 000102;18888
AA00AA X0000 100000 G15 SC 000107;18889
AA00AA X0000 100000 E99 AL 000094;18890
AA00AA X0000 100000 E99 AL 000093;18891
AA00AA X0000 100000 L01 AL 000005;18892
AA00AA X0000 100000 L01 BC 000103;18893
AA00AA X0000 100000 L01 AD 000501;18894
AA00AA X0000 100000 L01 AC 000505;18895
AA00AA X0000 100000 L00 AD 000001;18896
AA00AA X0000 100000 G99 VL 000102;18897
AA00AA X0000 100000 G99 AL 000059;18899
AA00AA X0000 100000 L01 AL 000001;18900
AA00AA X0000 100000 G99 AL 000037;18901
AA00AA X0000 100000 L01 BC 000527;18902
AA00AA X0000 100000 L01 BC 000521;18903
AA00AA X0000 100000 L01 BC 000106;18904
AA00AA X0000 100000 L01 BC 000105;18905
AA00AA X0000 100000 L01 BC 000109;18906
AA00AA X0000 100000 L01 BC 000104;18907
AA00AA X0000 100000 G99 AN 000166;18908
AA00AA X0000 100000 G99 AL 000056;18910
AA00AA X0000 100000 G99 SL 000116;18911
AA00AA X0000 100000 G99 SC 000111;18913
AA00AA X0000 100000 G99 AL 000058;18914
AA00AA X0000 100000 G99 AL 000054;18915
AA00AA X0000 100000 G72 VL 000100;18916
AA00AA X0000 100000 G95 VL 000103;18917
AA00AA X0000 100000 G72 GN 000001;18918
AA00AA X0000 600000 L99 AD 000009;189187
AA00AA X0000 100000 G72 AN 000606;18919
AA00AA X0000 100000 G72 AN 000605;18920
AA00AA X0000 100000 G72 AN 000602;18921
AA00AA X0000 100000 G71 VL 000106;18922
AA00AA X0000 100000 G71 BL 000015;18923
AA00AA X0000 100000 L01 SN 000121;18924
AA00AA X0000 100000 L01 SL 000128;18925
AA00AA X0000 100000 L01 SC 000152;18926
AA00AA X0000 100000 L01 SC 000112;18927
AA00AA X0000 100000 L01 SN 000129;18928
AA00AA X0000 100000 L01 SC 000150;18930
AA00AA X0000 100000 L01 SC 000146;18931
AA00AA X0000 120000 E01 AL 000002;18932
AA00AA X0000 117584 E42 VC 000100;18933
AA00AA X0000 117584 E42 VN 000100;18935
AA00AA X0000 123000 E01 AC 000008;18936
AA00AA X0000 117500 E01 VL 000117;18937
AA00AA X0000 117453 E01 VL 000110;18938
AA00AA X0000 150000 E42 VC 000100;18939
AA00AA X0000 141000 E01 VL 000207;18940
AA00AA X0000 117100 E01 VL 000117;18941
AA00AA X0000 141000 E01 VL 000102;18942
AA00AA X0000 117100 E01 VC 000105;18943
AA00AA X0000 100000 S30 AN 000506;18945
AA00AA X0000 117100 E01 VL 000105;18946
AA00AA X0000 100000 S20 AN 000005;18947
AA00AA X0000 100000 M10 VL 000100;18948
AA00AA X0000 100000 M10 SN 000102;18949
AA00AA X0000 100000 M01 VL 000107;18950
AA00AA X0000 100000 M01 VL 000105;18951
AA00AA X0000 100000 M01 VL 000104;18952
AA00AA X0000 100000 M01 VL 000101;18953
AA00AA X0000 100000 M01 VL 000103;18954
AA00AA X0000 100000 M01 VL 000100;18955
AA00AA X0000 100000 M01 SN 000111;18956
AA00AA X0000 100000 M01 SN 000109;18957
AA00AA X0000 100000 L99 SN 000107;18958
AA00AA X0000 200000 L07 FN 000043;189587
AA00AA X0000 100000 L99 SN 000102;18959
AA00AA X0000 100000 L99 SL 000125;18960
AA00AA X0000 100000 L99 SL 000124;18961
AA00AA X0000 100000 L99 SL 000123;18962
AA00AA X0000 100000 L99 SL 000122;18963
AA00AA X0000 100000 L99 SC 000115;18964
AA00AA X0000 100000 L99 SC 000113;18965
AA00AA X0000 114100 E42 VC 000100;18966
AA00AA X0000 100000 L99 AD 000026;18967
AA00AA X0000 100000 L99 AD 000024;18968
AA00AA X0000 100000 L99 AD 000020;18969
AA00AA X0000 100000 L99 AD 000001;18970
AA00AA X0000 110000 E41 VC 000100;18971
AA00AA X0000 100000 M01 SN 000110;18972
AA00AA X0000 100000 M01 SN 000101;18973
AA00AA X0000 110000 E01 VC 000103;18974
AA00AA X0000 100000 L99 SC 000109;18975
AA00AA X0000 100000 D20 AD 000009;18976
AA00AA X0000 100000 S60 AN 000001;18978
AA00AA X0000 100000 S20 VL 000100;18979
AA00AA X0000 100000 S20 AN 000007;18980
AA00AA X0000 100000 M01 BD 000002;18981
AA00AA X0000 100000 L99 AL 000067;18982
AA00AA X0000 100000 L99 AL 000066;18983
AA00AA X0000 100000 L99 AL 000062;18984
AA00AA X0000 100000 L04 AN 000014;18985
AA00AA X0000 100000 L04 AN 000013;18986
AA00AA X0000 100000 L04 AN 000012;18987
AA00AA X0000 100000 L04 AN 000011;18988
AA00AA X0000 100000 L04 AN 000010;18989
AA00AA X0000 100000 L04 AN 000009;18990
AA00AA X0000 100000 L04 AN 000004;18992
AA00AA X0000 100000 L04 AN 000003;18993
AA00AA X0000 100000 L04 AN 000001;18994
AA00AA X0000 100000 L03 AC 000902;18996
AA00AA X0000 100000 L04 AL 000006;18997
AA00AA X0000 100000 L03 AN 000006;18998
AA00AA X0000 100000 L03 AL 000004;18999
AA00AA X0000 100000 L01 BC 000523;19001
AA00AA X0000 100000 L01 BC 000520;19002
AA00AA X0000 100000 L01 BC 000519;19003
AA00AA X0000 100000 L01 BC 000517;19004
AA00AA X0000 100000 L01 BC 000513;19005
AA00AA X0000 100000 L01 BC 000512;19006
AA00AA X0000 100000 L01 BC 000511;19007
AA00AA X0000 100000 L01 AC 000013;19010
AA00AA X0000 100000 G99 VL 000100;19012
AA00AA X0000 100000 G99 AL 000011;19013
AA00AA X0000 100000 G72 AN 000628;19014
AA00AA X0000 100000 E99 AN 000199;19015
AA00AA X0000 100000 E99 AL 000054;19016
AA00AA X0000 100000 E90 AL 000100;19017
AA00AA X0000 100000 E01 VC 000103;19018
AA00AA X0000 100000 E01 VC 000102;19019
AA00AA X0000 141000 E01 VL 000902;19021
AA00AA X0000 100000 E01 SC 000205;19024
AA00AA X0000 100000 E01 BC 000006;19025
AA00AA X0000 100000 E01 AL 000001;19026
AA00AA X0000 200000 X90 TD 000175;190267
AA00AA X0000 160000 M02 VN 000100;19027
AA00AA X0000 160000 E42 VC 000100;19028
AA00AA X0000 160000 E01 VN 000101;19029
AA00AA X0000 160000 E01 VN 000102;19030
AA00AA X0000 160000 E01 VN 000100;19031
AA00AA X0000 100000 D60 SL 000101;19034
AA00AA X0000 141000 E01 VC 000102;19037
AA00AA X0000 150000 E01 VL 000183;19039
AA00AA X0000 300000 G15 CD 000005;1904
AA00AA X0000 150000 E01 BP 000182;19040
AA00AA X0000 141000 E01 VL 000208;19041
AA00AA X0000 150000 E01 BP 000181;19042
100 000 L01;19043
AA00AA X0000 100000 G60 AD 000001;19045
AA00AA X0000 140000 E01 VC 000101;19046
AA00AA X0000 140000 E01 BC 000005;19047
AA00AA X0000 140000 E01 BC 000003;19048
AA00AA X0000 140000 E01 VC 000017;19049
AA00AA X0000 118200 E01 VL 000129;19050
AA00AA X0000 129100 E10 VL 000100;19051
AA00AA X0000 129000 E01 VL 000102;19052
AA00AA X0000 129000 E01 VC 000100;19053
AA00AA X0000 123000 E01 VL 000105;19055
AA00AA X0000 123000 E01 VC 000100;19056
AA00AA X0000 117584 E01 VC 000101;19058
AA00AA X0000 120000 E01 VC 000101;19059
AA00AA X0000 100000 E42 VN 000101;19060
AA00AA X0000 100000 E42 VN 000100;19061
AA00AA X0000 100000 E42 VL 000117;19062
AA00AA X0000 141000 E01 VL 000907;19063
AA00AA X0000 100000 E42 VL 000116;19064
AA00AA X0000 100000 E42 VL 000115;19065
AA00AA X0000 100000 E42 VL 000114;19066
AA00AA X0000 100000 E42 VL 000113;19067
AA00AA X0000 117453 E01 VL 000111;19068
AA00AA X0000 100000 E42 VL 000105;19069
AA00AA X0000 100000 E42 VL 000103;19070
AA00AA X0000 100000 E42 VD 000100;19071
AA00AA X0000 100000 E42 VC 000103;19072
AA00AA X0000 100000 E42 VC 000102;19073
AA00AA X0000 100000 E42 VC 000101;19074
AA00AA X0000 100000 E42 VC 000100;19075
AA00AA X0000 100000 E42 BD 000005;19076
AA00AA X0000 100000 X90 TD 000149;190767
AA00AA X0000 100000 E42 BC 000016;19077
AA00AA X0000 100000 E42 AN 000115;19078
AA00AA X0000 100000 E42 AN 000038;19079
AA00AA X0000 100000 E42 AN 000034;19080
AA00AA X0000 100000 E41 VC 000101;19081
AA00AA X0000 100000 E41 VC 000100;19082
AA00AA X0000 100000 E41 BC 000001;19083
AA00AA X0000 100000 E10 VL 000100;19084
AA00AA X0000 100000 E01 VN 000107;19085
AA00AA X0000 100000 E01 VN 000106;19086
AA00AA X0000 100000 E01 VL 000116;19087
AA00AA X0000 100000 E01 VL 000107;19088
AA00AA X0000 100000 E01 VL 000106;19089
AA00AA X0000 100000 E01 VC 000116;19090
AA00AA X0000 100000 E01 VC 000115;19091
AA00AA X0000 100000 E01 VC 000114;19092
AA00AA X0000 100000 E01 VC 000113;19093
AA00AA X0000 100000 E01 VC 000112;19094
AA00AA X0000 100000 L04 AN 000538;19095
AA00AA X0000 100000 L04 AN 000522;19096
AA00AA X0000 100000 L04 AN 000516;19097
AA00AA X0000 100000 L04 AN 000514;19098
AA00AA X0000 100000 L04 AN 000512;19099
AA00AA X0000 100000 L04 AN 000507;19100
AA00AA X0000 100000 L03 AN 000007;19101
AA00AA X0000 100000 L30 AL 000109;19102
AA00AA X0000 100000 L01 SN 000135;19104
AA00AA X0000 100000 L01 SN 000130;19105
AA00AA X0000 100000 L01 SN 000132;19106
AA00AA X0000 123000 E01 VL 000000;19107
AA00AA X0000 100000 L01 SN 000123;19108
AA00AA X0000 100000 E01 VC 000104;19109
AA00AA X0000 100000 G15 SC 000104;19110
AA00AA X0000 100000 G11 VL 000103;19111
AA00AA X0000 100000 E99 VL 000103;19112
AA00AA X0000 100000 E99 VL 000100;19113
AA00AA X0000 100000 E99 SN 000115;19114
AA00AA X0000 100000 E99 VL 000105;19115
100000X90TD150;191487
AA00AA X0000 100000 S42 AL 000001;19178
AA00AA X0000 100000 L37 SC 000106;19179
MOP 6048AA00AA X0000 100000 X93 TD 000009;19180
AA00AA X0000 100000 X93 TD 000021MOP 6026;19182
AA00AA X0000 100000 X93 TD 000026MOP 6035;19184
AA00AA X0000 100000 X93 TD 000028MOP 6038;19185
MOP 6025AA00AA X0000 100000 X93 TD 000020;19186
AA00AA X0000 100000 X93 TD 000018MOP 6023;19187
AA00AA X0000 100000 X93 TD 000029MOP 6031;19188
MOP 6027AA00AA X0000 100000 X93 TD 000003;19189
AA00AA X0000 100000 X93 TD 000012MOP 6013;19190
AA00AA X0000 100000 X93 TD 000031MOP 6033;19192
AA00AA X0000 100000 X93 TD 000017MOP 6022;19193
AA00AA X0000 100000 X93 TD 000013MOP 6014;19194
MOP 6019AA00AA X0000 100000 X93 TD 000016;19195
AA00AA X0000 100000 X93 TD 000011MOP 6037;19196
MOP 6034AA00AA X0000 100000 X93 TD 000007;19197
AA00AA X0000 100000 X93 TD 000006MOP 6021;19198
AA00AA X0000 100000 X93 TD 000002MOP 6029;19199
AA00AA X0000 100000 X93 TD 000005MOP 6012;19200
AA00AA X0000 100000 X93 TD 000004MOP 6030;19201
MOP 6045AA00AA X0000 100000 X93 TD 000010;19202
AA00AA X0000 100000 X93 TD 000032MOP 6049;19204
AA00AA X0000 100000 X93 TD 000027MOP 6036;19205
AA00AA X0000 100000 X93 TD 000014MOP 6015 S;19206
AA00AA X0000 100000 X93 TD 000015MOP 6016;19207
AA00AA X0000 213022 R10 MN 000001;19210
AA00AA X0000 212233 R10 MN 000001;19213
AA00AA X0000 232000 R01 MN 000001;19233
AA00AA X0000 200000 L07 MN 000250;19235
AA00AA X0000 200000 Q10 MN 000095;19236
AA00AA X0000 272000 E02 MN 000001;19237
AA00AA X0000 232200 E55 MN 000001;19243
AA00AA X0000 200000 X90 TD 000014;19245
AR00AR X0000 000000 G71 SC 000259;192468
AA00AA X0000 285000 E01 ML 000014;19249
AA00AA X0000 100000 S01 MD 000001;1925
AA00AA X0000 283000 E01 SL 000121;19250
AA00AA X0000 283000 E01 MN 000029;19251
AA00AA X0000 283000 P30 MN 000001;19252
AA00AA X0000 283100 P30 MN 000003;19253
AA00AA X0000 281000 E01 MN 000026;19254
AA00AA X0000 283110 E01 MN 000002;19255
AA00AA X0000 283000 E01 ML 000036;19256
AA00AA X0000 283000 E01 MN 000038;19257
AA00AA X0000 281000 E01 SL 000172;19258
AA00AA X0000 300000 S01 MD 000002;1926
AA00AA X0000 281100 P30 MN 000001;19260
AA00AA X0000 283100 P10 ML 000002;19261
AA00AA X0000 285100 P30 MN 000001;19262
AA00AA X0000 285100 P30 MN 000003;19263
AA00AA X0000 285100 P30 MN 000002;19264
AA00AA X0000 200000 L12 ML 000012;19265
AA00AA X0000 200000 L90 MN 000002;19266
AA00AA X0000 400000 S01 MD 000001;1927
AA00AA X0000 200000 L65 MN 000078;19272
AA00AA X0000 200000 X90 TD 000004;19275
AA00AA X0000 220000 X90 TD 000006;19276
AA00AA X0000 220000 X90 TD 000007;19277
AA00AA X0000 220000 X90 TD 000005;19279
AA00AA X0000 000000 E32 AD 000009ST 5439492;1928
AA00AA X0000 220000 X90 TD 000004;19280
AA00AA X0000 220000 X90 TD 000003;19281
AA00AA X0000 220000 X90 TD 000002;19282
AA00AA X0000 200000 I00 MN 000003;19310
AA00AA X0000 200000 G71 MN 000008;19312
AA00AA X0000 240000 E04 MN 0000180ED 824461R F3 P1;19313
AA00AA X0000 200000 G64 SN 000104;19315
AA00AA X0000 200000 G64 SN 000101;19316
AA00AA X0000 200000 G64 JL 000108;19317
AA00AA X0000 200000 L07 MN 000242;19318
AA00AA X0000 200000 L07 MN 000241;19319
AA00AA X0000 200000 L20 MN 000102;19320
AA00AA X0000 200000 L20 MN 000105;19321
AA00AA X0000 200000 L20 MN 000104;19322
AA00AA X0000 200000 L20 MN 000101;19324
AA00AA X0000 200000 L20 MN 000110;19326
AA00AA X0000 200000 L07 MN 000245;19328
AA00AA X0000 200000 L20 MN 000109;19329
AA00AA X0000 200000 L20 MN 000108;19330
AA00AA X0000 200000 L07 MN 000249;19331
AA00AA X0000 200000 L20 MN 000106;19332
AA00AA X0000 200000 L07 MN 000243;19333
AA00AA X0000 200000 G60 SL 000103;19334
AA00AA X0000 200000 D55 MN 000001;19335
AA00AA X0000 200000 M01 MN 000019;19336
213128R15MCP20CR 824350W;19339
AA00AA X0000 200000 E50 MN 000010;19341
AA00AA X0000 200000 E50 MN 000002;19344
AA00AA X0000 285100 E01 MN 000002;19345
AA00AA X0000 221700 R10 MN 000003;19347
AA00AA X0000 221800 R10 MN 000004;19348
AA00AA X0000 200000 G06 JL 000338;19349
AA00AA X0000 200000 S15 MN 000005;19350
AA00AA X0000 213342 R10 MN 000001;19351
AA00AA X0000 213345 R10 MN 000001;19356
AA00AA X0000 230000 I10 MN 000007;19357
AA00AA X0000 200000 Q10 MN 000117;19360
100000X90TD151;193607
AA00AA X0000 200000 Q30 SL 000139;19361
AA00AA X0000 200000 G81 MN 000282;19362
AA00AA X0000 200000 G05 SC 000130;19363
AA00AA X0000 200000 G06 NN 000203;19365
AA00AA X0000 200000 E30 MN 000001;19366
AA00AA X0000 200000 E30 MS 000002;19367
AA00AA X0000 200000 E11 JC 000010;19368
AA00AA X0000 200000 E11 JN 000008;19369
AA00AA X0000 200000 G50 ML 000130;19372
AA00AA X0000 200000 S30 MN 000029;19373
AA00AA X0000 200000 G72 MN 000002;19374
AA00AA X0000 200000 Q30 SL 000163;19375
AA00AA X0000 200000 G30 MC 000080;19377
AA00AA X0000 200000 G30 MC 000077;19378
AA00AA X0000 200000 G15 MC 000137;19379
AA00AA X0000 200000 S30 MN 000031;19380
AA00AA X0000 285100 E01 MN 000003;19382
AA00AA X0000 200000 L65 ML 000075;19383
AA00AA X0000 200000 Q30 SL 000174;19390
AA00AA X0000 200000 L60 MN 000005;19391
AA00AA X0000 213024 R10 MN 000001;19393
AA00AA X0000 200000 E70 SN 000113;19394
AA00AA X0000 200000 L60 ML 000002;19395
AA00AA X0000 285000 E01 MN 000002;19399
AA00AA X0000 284230 E01 MN 000001;19400
AA00AA X0000 284000 E01 MN 000004;19401
AA00AA X0000 284100 P30 MN 000003;19402
AA00AA X0000 285000 E01 MN 000017;19403
AA00AA X0000 200000 G15 MC 000057;19406
AA00AA X0000 200000 G15 MC 000074;19407
AA00AA X0000 200000 G15 MC 000134;19408
AA00AA X0000 200000 G30 MC 000078;19409
AA00AA X0000 200000 G15 MC 000148;19410
AA00AA X0000 200000 E00 SC 000147;19411
AA00AA X0000 200000 L03 SN 000003;19412
AA00AA X0000 200000 L03 SN 000002;19413
AA00AA X0000 200000 L04 MN 000018;19414
AA00AA X0000 200000 L04 MN 000015;19415
AA00AA X0000 200000 L04 MN 000012;19416
AA00AA X0000 200000 L04 MN 000011;19417
AA00AA X0000 200000 L04 MN 000008;19418
AA00AA X0000 200000 L04 MN 000003;19419
AA00AA X0000 200000 L04 MN 000001;19420
AA00AA X0000 200000 E60 MN 000019;19424
AA00AA X0000 221600 R15 JL 000300;19425
AA00AA X0000 281000 E01 SL 000168;19427
AA00AA X0000 200000 L03 SN 000001;19428
AA00AA X0000 200000 G05 SL 000123;19429
AA00AA X0000 200000 L03 SN 000007;19430
AA00AA X0000 200000 L03 SN 000005;19431
AA00AA X0000 232000 R11 MN 000002;19432
AA00AA X0000 200000 L30 MN 000009;19433
AA00AA X0000 284220 E01 MN 000002;19436
AA00AA X0000 213127 R10 MN 000001;19437
AA00AA X0000 213127 R10 MN 000002;19438
AA00AA X0000 221500 R15 JL 000303;19439
AA00AA X0000 230000 E01 SN 000100;19442
AA00AA X0000 230000 E02 ML 000005;19443
AA00AA X0000 200000 E40 ML 000007;19444
AA00AA X0000 200000 G05 SC 000143;19445
AA00AA X0000 200000 G50 SL 000176;19446
AA00AA X0000 200000 Q20 MN 000036;19447
AA00AA X0000 284210 E01 MN 000002;19449
AA00AA X0000 200000 G50 SL 000145;19450
AA00AA X0000 283000 E01 MN 000025;19452
AA00AA X0000 200000 G06 JL 000201;19453
AA00AA X0000 200000 G06 JL 000227;19454
AA00AA X0000 200000 Q30 SL 000127;19455
AA00AA X0000 200000 L04 SN 000102;19456
AA00AA X0000 231100 P30 JL 000002;19457
AA00AA X0000 400000 E01 GN 000004;1946
AA00AA X0000 200000 E00 SC 000141;19463
AA00AA X0000 200000 M01 ML 000024;19464
AA00AA X0000 200000 G15 SL 000172;19465
AA00AA X0000 200000 L70 MN 000009;19466
AA00AA X0000 200000 L07 SL 000111;19467
AA00AA X0000 200000 G81 MN 000290;19468
AA00AA X0000 200000 I00 MN 000002;19469
AA00AA X0000 200000 G06 JL 000293;19470
AA00AA X0000 200000 G05 ML 000193;19471
AA00AA X0000 200000 L65 MN 000070;19473
AA00AA X0000 231000 R15 JL 000306;19474
AA00AA X0000 200000 Q20 MN 000034;19475
AA00AA X0000 200000 Q30 SL 000164;19476
AA00AA X0000 200000 E22 MN 000003;19478
AA00AA X0000 200000 L35 MN 000008;19480
AA00AA X0000 212217 P30 JN 000001;19483
AA00AA X0000 200000 G05 MC 000302;19484
AA00AA X0000 200000 G06 JL 000334;19488
AA00AA X0000 221600 R15 JL 000301;19496
AA00AA X0000 200000 F20 ML 000002;19499
AA00AA X0000 400000 E01 GN 000005;1950
AA00AA X0000 200000 G81 MN 000281;19504
AA00AA X0000 200000 G81 MN 000277;19507
AA00AA X0000 230000 E01 SN 000107;19510
AA00AA X0000 281000 E01 ML 000004;19511
AA00AA X0000 200000 G50 MN 000065;19512
AA00AA X0000 200000 E05 SN 000108;19513
AA00AA X0000 200000 G05 SL 000147;19514
AA00AA X0000 200000 L03 SN 000008;19515
AA00AA X0000 200000 Q30 SL 000171;19516
AA00AA X0000 200000 D23 SN 000100;19518
AA00AA X0000 200000 E07 MN 000004;19519
AA00AA X0000 200000 G50 MN 000137;19520
AA00AA X0000 200000 G50 NN 000020;19521
AA00AA X0000 200000 E35 GN 000011;19522
AA00AA X0000 200000 L04 SN 000103;19523
AA00AA X0000 221800 R15 JL 000300;19550
AA00AA X0000 200000 Q15 MN 000003;19557
AA00AA X0000 200000 G81 MN 000265;19577
AA00AA X0000 283000 E01 SL 000913;19578
AA00AA X0000 200000 L11 MN 000007;19581
AA00AA X0000 200000 G15 SN 000103;19582
AA00AA X0000 200000 P30 JL 000002;19583
AA00AA X0000 200000 G50 VL 000100;19585
AA00AA X0000 200000 L04 SN 000104;19587
AA00AA X0000 200000 L04 SN 000105;19589
AA00AA X0000 282000 M01 JL 000004;19594
AA00AA X0000 200000 G06 JL 000339;19605
AA00AA X0000 200000 G06 JL 000342;19609
AA00AA X0000 200000 E31 MN 000055;19610
AA00AA X0000 200000 E45 MN 000005;19612
AA00AA X0000 200000 E40 MN 000001;19613
AA00AA X0000 220000 E01 SN 000111;19614
AA00AA X0000 211001 R10 MN 000002;19616
AA00AA X0000 200000 G81 MN 000259;19617
AA00AA X0000 212215 R10 MN 000002;19620
AA00AA X0000 200000 E50 MN 000016;19621
AA00AA X0000 200000 L30 MN 000001;19622
AA00AA X0000 200000 P30 JL 000005;19632
AA00AA X0000 200000 G05 ML 000353;19634
AA00AA X0000 200000 G15 JL 000016;19635
AA00AA X0000 212111 P30 JL 000002MAG/G2/00152;19636
AA00AA X0000 253100 R01 MN 000001;19642
AA00AA X0000 284220 E01 MN 000001;19644
AA00AA X0000 230000 E02 MN 000001;19646
AA00AA X0000 283100 P30 MN 000007;19647
AA00AA X0000 200000 L20 MN 000024;19652
AA00AA X0000 200000 L20 MN 000023;19653
AA00AA X0000 200000 L20 MN 000262;19654
AA00AA X0000 232200 R01 MN 000001;19655
AA00AA X0000 200000 E60 MN 000017;19656
AA00AA X0000 260000 R01 MN 000001;19657
AA00AA X0000 200000 E60 MN 000015;19658
AA00AA X0000 260000 R05 MN 000001;19659
AA00AA X0000 200000 P30 CN 000001;19661
AA00AA X0000 283100 P30 MN 000010;19662
AA00AA X0000 283100 P30 MN 000009;19663
AA00AA X0000 283100 P30 MN 000008;19664
AA00AA X0000 283100 P30 MN 000005;19665
AA00AA X0000 283100 P30 MN 000004;19666
AA00AA X0000 283000 P30 MN 000002;19667
AA00AA X0000 200000 L20 MN 000261;19668
212 344 R15 JN 100;19672
AA00AA X0000 160000 X90 TD 000020;196887
AA00AA X0000 200000 E00 SC 000143;19689
AA00AA X0000 212217 E01 MN 000001;19692
AA00AA X0000 200000 L07 SC 000100;19709
AA00AA X0000 200000 E00 SC 000159;19710
AA00AA X0000 200000 G15 MC 000174;19711
AA00AA X0000 200000 S10 SL 000104;19712
AA00AA X0000 200000 G15 MC 000178;19713
AA00AA X0000 200000 G60 MN 000019;19714
AA00AA X0000 200000 E00 SC 000162;19715
AA00AA X0000 200000 G05 SN 000119;19716
AA00AA X0000 200000 S11 MN 000003;19717
AA00AA X0000 230000 R10 SL 000101;19718
AA00AA X0000 200000 M20 MC 000010;19719
AA00AA X0000 200000 G05 SC 000140;19720
AA00AA X0000 200000 G05 SL 000142;19724
AA00AA X0000 200000 L65 ML 000071;19725
AA00AA X0000 200000 G05 SC 000145;19726
AA00AA X0000 353000 L10 ML 000001;197267
AA00AA X0000 281000 E01 SL 000166;19727
AA00AA X0000 200000 M20 ML 000007;19729
AA00AA X0000 200000 G15 SL 000168;19730
AA00AA X0000 200000 Q30 SL 000151;19731
AA00AA X0000 200000 L07 SN 000107;19732
AA00AA X0000 200000 L00 MN 000107;19733
AA00AA X0000 200000 L03 SN 000004;19735
AA00AA X0000 200000 Q30 SL 000152;19736
AA00AA X0000 200000 Q30 SL 000158;19737
AA00AA X0000 283000 E01 MN 000015;19738
AA00AA X0000 212219 R10 MN 000001;19739
AA00AA X0000 213231 R10 MN 000001;19740
AA00AA X0000 211103 R10 MN 000001;19742
AA00AA X0000 200000 G15 SL 000174;19743
AA00AA X0000 200000 L35 SL 000100;19744
AA00AA X0000 212214 R10 MN 000002;19745
AA00AA X0000 200000 Q30 SL 000172;19752
AA00AA X0000 210000 R15 MN 000021;19753
AA00AA X0000 200000 E00 SC 000145;19755
AA00AA X0000 200000 E00 SC 000139;19756
AA00AA X0000 200000 L02 MN 000003;19757
AA00AA X0000 200000 G30 DD 000090;19758
AA00AA X0000 200000 G50 MN 000140;19759
AA00AA X0000 200000 E51 MN 000004;19760
AA00AA X0000 213126 R10 MN 000001;19761
AA00AA X0000 200000 E70 ML 000009;19762
AA00AA X0000 200000 E51 MN 000002;19763
AA00AA X0000 212214 R10 MN 000001;19771
AA00AA X0000 221800 R10 MN 000002;19772
AA00AA X0000 200000 E00 SC 000146;19775
AA00AA X0000 230000 I10 MN 000004;19776
AA00AA X0000 213000 R10 MN 000001;19790
AA00AA X0000 213023 R10 MN 000001;19791
AA00AA X0000 213023 R10 MN 000002;19792
AA00AA X0000 230000 E02 MC 000002;19808
AA00AA X0000 283000 E01 SL 000100;19809
AA00AA X0000 281000 E01 SL 000176;19810
AA00AA X0000 281000 E01 SL 000171;19811
AA00AA X0000 200000 X90 TD 000176;198187
AA00AA X0000 000000 D02 MD 000901;1982
212 000LB66/LY/E40448/86/SA/NT;19841
AA00AA X0000 200000 L07 MN 000006;19845
AA00AA X0000 200000 Q30 SL 000175;19846
AA00AA X0000 200000 Q30 SL 000173;19847
AA00AA X0000 200000 Q30 SL 000169;19848
AA00AA X0000 213024 R10 MN 000002;19850
AA00AA X0000 212233 P30 JN 000001;19851
AA00AA X0000 210000 R15 MN 000020;19852
AA00AA X0000 212217 R10 MN 000002;19853
AA00AA X0000 212235 R10 MN 000001;19854
AA00AA X0000 211001 R10 MN 000001;19857
AA00AA X0000 211002 R10 MN 000001;19858
AA00AA X0000 212218 R10 MN 000001;19859
AA00AA X0000 000000 S02 MC 000006;1986
AA00AA X0000 213025 R10 MN 000001;19860
AA00AA X0000 213126 R10 MN 000002;19861
AA00AA X0000 212353 R10 MN 000001;19862
AA00AA X0000 212221 R10 MN 000002;19863
AA00AA X0000 282000 M01 MN 000003;19866
AA00AA X0000 213128 R10 MN 000001;19867
AA00AA X0000 213128 R10 MN 000002;19868
